country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
BG,ES,0.6854503192912444,0.8290401786416228,0.0468655160241971,0.0134509102990582,-0.14358985935037838,0.0334146057251389,0.004797998536321043
AT,BG,0.8823730677705127,0.6854503192912444,0.0226218363036761,0.0468655160241971,0.19692274847926827,-0.024243679720520998,0.0047741320438160935
ES,IL,0.8290401786416228,0.7548493557251168,0.0134509102990582,0.0773792754789644,0.07419082291650603,-0.06392836517990619,0.00474289802040415
IL,IT,0.7548493557251168,0.8641004530725265,0.0773792754789644,0.036549367447733,-0.10925109734740968,0.04082990803123139,0.004460712257005845
BG,PL,0.6854503192912444,0.8374900952904407,0.0468655160241971,0.0176441899044248,-0.15203977599919627,0.0292213261197723,0.0044428038776496434
IL,IS,0.7548493557251168,0.8544743279425585,0.0773792754789644,0.0359305908028919,-0.09962497221744171,0.041448684676072496,0.004129324059303224
BG,HR,0.6854503192912444,0.7946389946133416,0.0468655160241971,0.0113382042255806,-0.1091886753220972,0.0355273117986165,0.00387918011304605
BG,NL,0.6854503192912444,0.873628791112841,0.0468655160241971,0.0265766906080034,-0.18817847182159653,0.020288825416193697,0.003817920161874497
BG,SE,0.6854503192912444,0.8585370051014429,0.0468655160241971,0.0254155745113755,-0.17308668581019848,0.021449941512821598,0.0037126992872768853
IL,LT,0.7548493557251168,0.8626392872316171,0.0773792754789644,0.0439121074466539,-0.10778993150650029,0.03346716803231049,0.003607423749919284
GB,IL,0.8197768716174378,0.7548493557251168,0.0219170857244814,0.0773792754789644,0.06492751589232104,-0.05546218975448299,0.00360102220670712
CH,CY,0.9051582931790576,0.7870157211406633,0.0142840839509112,0.0444938149589886,0.11814257203839429,-0.030209731008077403,0.0035690553218822984
BE,BG,0.8508384950701526,0.6854503192912444,0.0262566106310072,0.0468655160241971,0.1653881757789082,-0.020608905393189898,0.0034084692677797796
BG,GB,0.6854503192912444,0.8197768716174378,0.0468655160241971,0.0219170857244814,-0.1343265523261934,0.024948430299715697,0.0033512366281111495
BG,FI,0.6854503192912444,0.910711852834848,0.0468655160241971,0.0321216874233562,-0.22526153354360356,0.014743828600840898,0.0033212174409294635
BG,FR,0.6854503192912444,0.7989817384900312,0.0468655160241971,0.0201284951039494,-0.11353141919878673,0.026737020920247698,0.003035491930223372
