deflator,variable,cntry,hat,stud_resid,cooks_d
USD,cptppola,CH,0.18438891238838395,1.6162228313529063,0.09842442950331405
USD,cptppola,CY,0.20548003725746,-0.08884821830481174,0.00034026009449554767
USD,cptppola,DE,0.13051599279747264,1.0818578230310711,0.029281361233371155
USD,cptppola,EE,0.1372000463866086,-0.1496222602716805,0.0005933149847512294
USD,cptppola,ES,0.20090052169098482,0.74433229261528,0.023214679341282622
USD,cptppola,FI,0.2658765336308585,-1.4764004582409482,0.13157336855630197
USD,cptppola,FR,0.15542159276704076,-0.810898899769193,0.020167569086534762
USD,cptppola,GB,0.13940275857975337,-0.15963556148683974,0.0006879857709271021
USD,cptppola,GR,0.22185701863222235,1.3816066238562825,0.09070502157898527
USD,cptppola,HR,0.08958596223258315,-0.3379986245882611,0.0018736118860600724
USD,cptppola,HU,0.08967455151101775,0.045060077055727246,3.333535921003182e-05
USD,cptppola,IE,0.18989642351282945,-0.7139257712528253,0.01991274371409043
USD,cptppola,IL,1.0000000000000002,8.881784197001252e-10,1.3147681753683533e-07
USD,cptppola,IS,0.25836596695298936,0.860617942129278,0.04300462812747747
USD,cptppola,IT,0.21177612089472334,-0.33030389152833606,0.004885438290444554
USD,cptppola,LT,0.12077343306678295,0.29674048773985134,0.0020159185038684407
USD,cptppola,LV,0.09154800199912777,-1.3991316284363933,0.03287855968864108
USD,cptppola,ME,0.12876114050099915,1.4792595344076302,0.053899542745948034
USD,cptppola,NL,0.12500182194611326,-1.2727185810738806,0.038567608789755244
USD,cptppola,NO,0.27001570363591026,0.1426223659898306,0.0012540057512074845
USD,cptppola,PL,0.08945230326911043,0.18829905173803477,0.000580542264823502
USD,cptppola,PT,0.20418772190940915,-1.6945493408104495,0.12279372549943778
USD,cptppola,RS,0.1283589766144627,0.1979361182249257,0.0009615844496331375
USD,cptppola,SE,0.26143625096612666,0.4677591788194521,0.012908364078824583
USD,cptppola,SI,0.15603597627629823,0.3021748975934123,0.0028136257202371474
USD,cptppola,SK,0.10031373534285296,-1.3242525941166763,0.03258815148630677
USD,cptppola,UA,0.49465931404258456,-0.5609536635975019,0.05133631043363991
USD,euftf,AT,0.12840097219089058,-1.2164778720015923,0.03633362682488789
USD,euftf,BE,0.12991112617072517,0.5926180284335895,0.008739391614426932
USD,euftf,BG,0.0908010828336769,0.31004364322169065,0.0016000241231735718
USD,euftf,CH,0.18438891238838395,-0.3012141919101263,0.003418623639393626
USD,euftf,CY,0.20548003725746,0.43090750786285986,0.00800353215146655
USD,euftf,DE,0.13051599279747264,1.4604679711561106,0.05336235120794997
USD,euftf,EE,0.1372000463866086,0.9023498417270404,0.0215795700574645
USD,euftf,ES,0.20090052169098482,1.2248165021289887,0.06285951488809609
USD,euftf,FI,0.2658765336308585,0.17867483087367222,0.0019270208356361976
USD,euftf,FR,0.15542159276704076,-0.6630341380490065,0.013483166904039516
USD,euftf,GB,0.13940275857975337,-0.30724827048996106,0.002548584642061439
USD,euftf,GR,0.22185701863222235,-1.2496987459281972,0.07421183760956086
USD,euftf,HR,0.08958596223258315,-0.10471117174431492,0.00017981909425675432
USD,euftf,HU,0.08967455151101775,-1.7120661263358847,0.04812406986553727
USD,euftf,IE,0.18989642351282945,0.08818447457585374,0.00030381502559864373
USD,euftf,IL,1.0000000000000002,2.6645352591003757e-09,1.183291357831518e-06
USD,euftf,IS,0.25836596695298936,0.7422081985772434,0.03198496643088616
USD,euftf,IT,0.21177612089472334,-1.6771927481306586,0.12596274112795733
USD,euftf,LT,0.12077343306678295,1.748888979326383,0.07002350427544399
USD,euftf,LV,0.09154800199912777,-1.0296424893251808,0.017806089313898005
USD,euftf,ME,0.12876114050099915,0.9145530392941765,0.02060222478281289
USD,euftf,NL,0.12500182194611326,0.3293782763242839,0.0025831394314976323
USD,euftf,NO,0.27001570363591026,-0.2924924835153224,0.0052741645440656385
USD,euftf,PL,0.08945230326911043,0.47227727736877456,0.003652007651767911
USD,euftf,PT,0.20418772190940915,1.2470236550932783,0.06649930733942959
USD,euftf,RS,0.1283589766144627,-1.4101039287700516,0.04880222004308316
USD,euftf,SE,0.26143625096612666,-0.6310975698577133,0.023497387828247094
USD,euftf,SI,0.15603597627629823,0.7971194109412006,0.019579262453235158
USD,euftf,SK,0.10031373534285296,-1.5874964360031318,0.046832094308566656
USD,euftf,UA,0.49465931404258456,1.0223725180389827,0.17052537323628567
