variable,r,ccc,Cb,loc_shift_u,scale_shift_v,bias,sd_ratio,condition
trstprt,0.507230220065451,0.07016386156749359,0.1383274473639207,-3.2119684716718346,3.8842554610778532,1.5748088706927894,0.257449596202024,llama_1p
trstun,0.33330925310670345,0.030232594895151284,0.09070433722844416,-3.8521614977625513,7.069052362965429,1.403688499766747,0.141461676707754,llama_1p
vote,-0.05102456449187572,-0.0002503973378704189,0.004907388046600337,-20.024589465040872,6.408552972025163,0.8404074729996669,0.15604146589179096,llama_1p
actrolga,0.651645248059865,0.05103540990646562,0.07831778112157298,-4.802881453036776,1.9587974073699028,0.9045323215494241,0.5105173185534844,llama_3p
aesfdrk,-0.044881734543367566,-0.029338502030642224,0.6536846743811451,-0.2580650707581291,2.609812241724563,0.038403051139833444,0.3831693269011569,llama_3p
atchctr,-0.2511109781752477,-0.018238612009079155,0.07263167919464922,5.050486728660689,0.8441398452337733,-2.980528839037138,1.1846378365459853,llama_3p
atcherp,0.14564848003203387,0.09759508126122646,0.6700727754917966,0.7551105084633667,1.883683913083881,-0.5451807612787984,0.5308746297901147,llama_3p
cptppola,0.4838292528932495,0.028708506336305468,0.05933602849482855,-5.562581811055701,2.335921019103558,1.1777202944125644,0.4280966658640555,llama_3p
euftf,-0.1090121165302394,-0.10683964918882857,0.9800713222478511,0.1904566721369327,0.9358728735910385,-0.10492189951624997,1.0685211936562486,llama_3p
freehms,-0.5849322375497666,-0.16800422279937052,0.28721997526265003,-1.7196133960440416,3.7387658166255915,0.5435236976652056,0.2674679423763819,llama_3p
gincdif,0.08408592607407148,0.016306369788307688,0.19392507818660842,-2.8477238624805383,1.5645815520147874,0.5151724913461022,0.6391485306165419,llama_3p
happy,0.4666907557951238,0.048848762109035805,0.10467051575900575,4.132204461221708,0.8353249295023693,-2.269368508672831,1.197138939209839,llama_3p
health,-0.3741079861171126,-0.0654029797411879,0.17482379999424505,-3.0607166635170624,1.3069819820929698,0.6011999768747738,0.7651214888200859,llama_3p
hincfel,0.044005252904954134,0.01396160608544696,0.31727135202704765,1.458050191768001,3.92293040997334,-0.2648642168966986,0.25491148083016746,llama_3p
hmsacld,-0.6888280339877463,-0.18343720365645955,0.26630333639952114,0.9630176333787488,6.427241910097838,-0.31518546695881877,0.15558773327465708,llama_3p
