deflator,variable,country,bloc,bloc_size,dummy_survives_holdout,predicted_as,truth,pred_regression,pred_region_mean,hat_insample,err_regression,err_region_mean
USD,psppsgva,IL,Other,1,False,CentralEast (reference category),1.962432274318939,2.2636788568922994,2.202357787283531,1.0000000000000002,0.07531164564334009,0.059981378241147965
USD,rlgatnd,IL,Other,1,False,CentralEast (reference category),5.142386564860492,5.321039368749789,5.424358931819764,1.0000000000000002,0.029775467314882825,0.04699539449321207
USD,sclmeet,IL,Other,1,False,CentralEast (reference category),5.37946729389215,4.338153037218691,4.809299026649808,1.0000000000000002,0.17355237611224306,0.09502804454039031
USD,stfdem,IL,Other,1,False,CentralEast (reference category),4.252040313322515,5.698108668606227,5.047444525126513,1.0000000000000002,0.14460683552837122,0.07954042118039988
USD,stfeco,IL,Other,1,False,CentralEast (reference category),4.637346340378427,5.239339656648514,4.412156795177815,1.0000000000000002,0.060199331627008766,0.022518954520061207
USD,stfedu,IL,Other,1,False,CentralEast (reference category),5.264336488030869,5.926662444735642,5.294254262964457,1.0000000000000002,0.06623259567047732,0.0029917774933587715
USD,stfgov,IL,Other,1,False,CentralEast (reference category),3.8927885655775873,4.76717233855983,4.062337439238597,1.0000000000000002,0.0874383772982243,0.016954887366100957
USD,stfhlth,IL,Other,1,False,CentralEast (reference category),6.530300993284543,4.889719812615421,5.119845372822034,1.0000000000000002,0.16405811806691223,0.14104556204625088
USD,stflife,IL,Other,1,False,CentralEast (reference category),7.100674068580728,7.582319569709793,7.040574164064912,1.0000000000000002,0.048164550112906476,0.006009990451581615
USD,trstep,IL,Other,1,False,CentralEast (reference category),2.7966407305118883,4.880057569521589,4.693808325423037,1.0000000000000002,0.20834168390097005,0.18971675949111483
USD,trstlgl,IL,Other,1,False,CentralEast (reference category),4.48102706718821,5.582636810139085,5.264977453843947,1.0000000000000002,0.11016097429508749,0.07839503866557376
USD,trstplc,IL,Other,1,False,CentralEast (reference category),4.731499091666773,6.913450059510731,6.273982248234293,1.0000000000000002,0.21819509678439575,0.15424831565675196
USD,trstplt,IL,Other,1,False,CentralEast (reference category),3.234111509397608,3.844793848154547,3.5738302542806935,1.0000000000000002,0.06106823387569391,0.03397187448830854
USD,trstprl,IL,Other,1,False,CentralEast (reference category),3.8246940387324297,4.677875905071297,4.423166837797668,1.0000000000000002,0.08531818663388675,0.05984727990652381
USD,trstprt,IL,Other,1,False,CentralEast (reference category),3.3813375609355893,3.8303738158630716,3.5741485767944785,1.0000000000000002,0.04490362549274822,0.019281101585888916
USD,trstun,IL,Other,1,False,CentralEast (reference category),2.158735877721266,5.23601660929809,5.065956066124052,1.0000000000000002,0.30772807315768247,0.2907220188402786
USD,vote,IL,Other,1,False,CentralEast (reference category),1.2961812404391788,1.4098134399822202,1.3812102834208915,1.0000000000000002,0.05681609977152069,0.04251452149085633
PPP,actrolga,IL,Other,1,False,CentralEast (reference category),2.11740885990875,1.944459039912719,2.0885529172488337,0.9999999999999987,0.043237454999007774,0.007213985664979106
PPP,aesfdrk,IL,Other,1,False,CentralEast (reference category),2.003908804589909,1.8591423665678313,1.8887783493097496,0.9999999999999987,0.048255479340692554,0.03837681842671977
PPP,atchctr,IL,Other,1,False,CentralEast (reference category),7.589408771063847,7.859589814318144,7.817350824797712,0.9999999999999987,0.027018104325429705,0.0227942053733865
PPP,atcherp,IL,Other,1,False,CentralEast (reference category),2.430308978588516,5.946625126802086,5.881270686022354,0.9999999999999987,0.351631614821357,0.34509617074338383
PPP,cptppola,IL,Other,1,False,CentralEast (reference category),2.110375003285951,1.9039632305236163,2.141955500156684,0.9999999999999987,0.05160294319058367,0.007895124217683236
PPP,euftf,IL,Other,1,False,CentralEast (reference category),4.852961097473329,5.285966553337824,5.45261664065371,0.9999999999999987,0.04330054558644951,0.05996555431803818
