block,margin,variable,reverse,dz
"education, activity, income",add,inprdsc,False,0.471119
"education, activity, income",add,polintr,True,-0.106778
"education, activity, income",add,pplfair,False,0.155983
"education, activity, income",add,pplhlp,False,-0.110103
"education, activity, income",add,ppltrst,False,-0.18992
"education, activity, income",add,psppipla,False,-0.109709
"education, activity, income",add,psppsgva,False,0.033723
"education, activity, income",add,rlgatnd,True,0.547637
"education, activity, income",add,sclmeet,False,-0.103148
"education, activity, income",add,stfdem,False,-0.216733
"education, activity, income",add,stfeco,False,-0.051496
"education, activity, income",add,stfedu,False,-0.290753
"education, activity, income",add,stfgov,False,-0.161974
"education, activity, income",add,stfhlth,False,-0.223417
"education, activity, income",add,stflife,False,0.049378
"education, activity, income",add,trstep,False,-0.114102
"education, activity, income",add,trstlgl,False,-0.064816
"education, activity, income",add,trstplc,False,-0.107715
"education, activity, income",add,trstplt,False,-0.143422
"education, activity, income",add,trstprl,False,-0.128693
"education, activity, income",add,trstprt,False,-0.217703
"education, activity, income",add,trstun,False,-0.176729
"education, activity, income",add,vote,True,0.4194
"education, activity, income",remove,actrolga,False,-0.109536
"education, activity, income",remove,aesfdrk,True,0.040826
"education, activity, income",remove,atchctr,False,-0.28597
"education, activity, income",remove,atcherp,False,-0.181563
"education, activity, income",remove,cptppola,False,0.210862
"education, activity, income",remove,euftf,False,-0.172417
"education, activity, income",remove,freehms,True,0.194117
"education, activity, income",remove,gincdif,True,-0.134469
"education, activity, income",remove,happy,False,0.020852
"education, activity, income",remove,health,True,-0.015909
"education, activity, income",remove,hincfel,True,-0.285766
"education, activity, income",remove,hmsacld,True,0.143069
"education, activity, income",remove,hmsfmlsh,True,0.340151
"education, activity, income",remove,imbgeco,False,-0.275307
"education, activity, income",remove,imdfetn,True,0.230722
"education, activity, income",remove,impcntr,True,0.086673
"education, activity, income",remove,imsmetn,True,0.357189
"education, activity, income",remove,imueclt,False,0.160575
"education, activity, income",remove,imwbcnt,False,-0.074703
"education, activity, income",remove,inprdsc,False,0.097482
"education, activity, income",remove,polintr,True,-0.078832
"education, activity, income",remove,pplfair,False,0.17621
"education, activity, income",remove,pplhlp,False,-0.022586
"education, activity, income",remove,ppltrst,False,-0.061187
"education, activity, income",remove,psppipla,False,0.055719
"education, activity, income",remove,psppsgva,False,0.086124
"education, activity, income",remove,rlgatnd,True,0.553025
"education, activity, income",remove,sclmeet,False,0.048191
"education, activity, income",remove,stfdem,False,-0.228418
"education, activity, income",remove,stfeco,False,-0.071009
"education, activity, income",remove,stfedu,False,-0.062146
"education, activity, income",remove,stfgov,False,-0.024515
"education, activity, income",remove,stfhlth,False,-0.078926
"education, activity, income",remove,stflife,False,0.131705
"education, activity, income",remove,trstep,False,-0.035834
"education, activity, income",remove,trstlgl,False,-0.163419
"education, activity, income",remove,trstplc,False,-0.166576
"education, activity, income",remove,trstplt,False,-0.134091
"education, activity, income",remove,trstprl,False,-0.099468
"education, activity, income",remove,trstprt,False,-0.0379
"education, activity, income",remove,trstun,False,0.015213
"education, activity, income",remove,vote,True,-0.26767
"union, internet use",add,actrolga,False,0.079212
"union, internet use",add,aesfdrk,True,0.032221
"union, internet use",add,atchctr,False,-0.046046
"union, internet use",add,atcherp,False,-0.180967
"union, internet use",add,cptppola,False,-0.012389
"union, internet use",add,euftf,False,0.012475
"union, internet use",add,freehms,True,0.115316
"union, internet use",add,gincdif,True,0.114516
"union, internet use",add,happy,False,0.034272
"union, internet use",add,health,True,0.270965
"union, internet use",add,hincfel,True,0.121462
"union, internet use",add,hmsacld,True,0.027061
"union, internet use",add,hmsfmlsh,True,-0.323943
"union, internet use",add,imbgeco,False,0.337832
"union, internet use",add,imdfetn,True,-0.248276
"union, internet use",add,impcntr,True,-0.272046
"union, internet use",add,imsmetn,True,-0.43266
"union, internet use",add,imueclt,False,0.269154
"union, internet use",add,imwbcnt,False,0.314908
"union, internet use",add,inprdsc,False,0.324023
"union, internet use",add,polintr,True,-0.292343
"union, internet use",add,pplfair,False,0.006653
"union, internet use",add,pplhlp,False,0.078164
"union, internet use",add,ppltrst,False,0.425182
"union, internet use",add,psppipla,False,0.039093
"union, internet use",add,psppsgva,False,0.126163
"union, internet use",add,rlgatnd,True,0.170257
"union, internet use",add,sclmeet,False,0.107846
"union, internet use",add,stfdem,False,0.187044
"union, internet use",add,stfeco,False,0.087333
"union, internet use",add,stfedu,False,0.092006
"union, internet use",add,stfgov,False,-0.059677
"union, internet use",add,stfhlth,False,-0.036711
"union, internet use",add,stflife,False,0.054099
"union, internet use",add,trstep,False,0.158828
"union, internet use",add,trstlgl,False,0.135465
"union, internet use",add,trstplc,False,0.244714
"union, internet use",add,trstplt,False,0.146488
"union, internet use",add,trstprl,False,0.13148
"union, internet use",add,trstprt,False,0.170403
"union, internet use",add,trstun,False,-0.119309
"union, internet use",add,vote,True,0.657021
"union, internet use",remove,actrolga,False,0.105847
"union, internet use",remove,aesfdrk,True,-0.037244
"union, internet use",remove,atchctr,False,0.115136
"union, internet use",remove,atcherp,False,-0.127455
"union, internet use",remove,cptppola,False,0.260755
"union, internet use",remove,euftf,False,-0.044335
"union, internet use",remove,freehms,True,-0.189199
"union, internet use",remove,gincdif,True,0.019719
"union, internet use",remove,happy,False,0.010197
"union, internet use",remove,health,True,0.014327
